Beyoncé,album,https://open.spotify.com/album/1gIC63gC3B7o7FfpPACZQJ?si=PHYNmRzqRaOqLo_KPGygvw
Orlande de Lassus,album,https://open.spotify.com/album/4KA6gORBXW4uswibou0Uwt?si=UYsf8MyfQ5eE2h3lPGnyHA
Richard Wagner,playlist,https://open.spotify.com/playlist/37i9dQZF1DX6Hln2awUHXX?si=UOtoC2YLSv6SC_2sHyaDnw
Giovanni Pierluigi da Palestrina,playlist,https://open.spotify.com/playlist/37i9dQZF1DX3z57fMFbXR4?si=-Bebp2qsTQyMDhv9BYRPlA
Josquin des Prez,album,https://open.spotify.com/album/211wqPX1mTsr98AXOorOYP?si=fgZgkmvhT8qN7cbeeLVcnQ 
Claudio Monteverdi,playlist,https://open.spotify.com/playlist/37i9dQZF1DWWyxI74MZnc4?si=IOVutdFOS8GCW8nc_fKC0g
Wolfgang Amadeus Mozart,playlist,https://open.spotify.com/playlist/37i9dQZF1DX8qqIDAkKiQg?si=f8a266c543e44ee1
Ludwig van Beethoven,playlist,https://open.spotify.com/playlist/37i9dQZF1DX12YIlzNkccL?si=b930351406104d75 
Johann Sebastian Bach,playlist,https://open.spotify.com/playlist/37i9dQZF1DWZnzwzLBft6A?si=65a730ce3c4246f11d
Frédéric Chopin,playlist,https://open.spotify.com/playlist/37i9dQZF1DWV7cvDzE3MOI?si=1d-dAlIbS--uNFx0QgfVQg
Franz Joseph Haydn,playlist,https://open.spotify.com/playlist/37i9dQZF1DX16wERbfwQvR?si=0j4CYOAgRWq7HnZXGS2DSg 
Franz Schubert,playlist,https://open.spotify.com/playlist/37i9dQZF1DWY3VlkBR4Jhb?si=R1eQkIpbRimvQk1f7P4_Jg
Guillaume Dufay,playlist,https://open.spotify.com/playlist/37i9dQZF1DX6h0sY5NkZsZ?si=b9oDEuw2SzSKiv_dHJrJ6A
Bruno Mars,album,https://open.spotify.com/album/58ufpQsJ1DS5kq4hhzQDiI?si=hFz-EUPQR0Cno2fitI0IJA
Michael Jackson,album,https://open.spotify.com/album/1C2h7mLntPSeVYciMRTF4a?si=JvzUo5dUSAWja8CEofheNw
